DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Haking Wong),"702 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",香港專業教育學院 (黃克競),九龍長沙灣荔枝角道702號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821814.2,833781.3,22.33538425,114.15273578,2023-07-24 14:14:36,833781.2999999998,821814.1999999993
Higher Education Institutions,高等教育院校,The Hang Seng University of Hong Kong,"Hang Shin Link, Siu Lek Yuen, Shatin, N.T., Hong Kong",香港恒生大學,香港新界沙田小瀝源行善里,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826715.2,839821.8,22.37964109,114.21138228,2023-07-24 14:13:46,839821.7999999998,826715.1999999993
Higher Education Institutions,高等教育院校,The Education University of Hong Kong (Tai Po Campus),"10 Lo Ping Road, Tai Po, New Territories, Hong Kong",香港教育大學 (大埔校園),香港新界大埔露屏路十號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,836629.3,838062.5,22.46917289,114.19431043,2023-07-24 14:12:54,838062.5,836629.3000000007
Higher Education Institutions,高等教育院校,Hong Kong Nang Yan College of Higher Education (Lai Chi Kok Road Building),"325-329, Lai Chi Kok Road, Shamshuipo, Kowloon",香港能仁專上學院 (荔枝角道校舍),九龍深水埗荔枝角道325至329號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821065.5,834532.7,22.32862397,114.16003049,2023-07-24 14:12:03,834532.7000000002,821065.5
Higher Education Institutions,高等教育院校,Hong Kong Nang Yan College of Higher Education (Yee Kuk Street Building),"176-178, Yee Kuk Street, Shamshuipo, Kowloon",香港能仁專上學院 (醫局街校舍),九龍深水埗醫局街176-178 號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821047.2,834526.1,22.32845871,114.15996644,2023-07-24 14:11:24,834526.0999999996,821047.1999999993
Higher Education Institutions,高等教育院校,YMCA College of Careers,"23 Waterloo Road, Kowloon",青年會專業書院,九龍窩打老道23號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819427.5,835700.6,22.31383264,114.17136741,2023-07-24 14:08:20,835700.5999999996,819427.5
Higher Education Institutions,高等教育院校,Centennial College,"3 Wah Lam Path, Pokfulam, Hong Kong",明德學院,香港薄扶林華林徑3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,812615.1,832284.5,22.25230785,114.13822906,2023-07-24 14:07:41,832284.5,812615.0999999996
Higher Education Institutions,高等教育院校,UOW College Hong Kong,"18 Che Kung Miu Road, Tai Wai, New Territories, Hong Kong",香港伍倫貢學院,香港新界大圍車公廟路18號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,826120.0617299,836657.56072924,22.37427002,114.18065692,2023-07-24 14:06:38,836657.5607000003,826120.0616999995
Higher Education Institutions,高等教育院校,City University of Hong Kong - School of Continuing and Professional Education (TST East Learning Centre),"UG202, UG301, ChinaChem Golden Plaza, 77 Mody Road, Tsim Sha Tsui East, Kowloon",香港城市大學專業進修學院 (尖東教學中心),九龍尖沙咀東麼地道77號華懋廣場UG202及UG301室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817912.03865349,836518.72003329,22.30014688,114.1793075,2023-07-24 14:05:58,836518.7199999997,817912.0386999995
Higher Education Institutions,高等教育院校,Technological and Higher Education Institute of Hong Kong (Chai Wan Campus),"133 Shing Tai Road, Chai Wan, Hong Kong",香港高等教育科技學院 (柴灣校園),香港柴灣盛泰道133號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,814565.0050035,842841.97164284,22.26990853,114.24065863,2023-07-24 14:02:29,842841.9715999998,814565.0050000008
Higher Education Institutions,高等教育院校,Technological and Higher Education Institute of Hong Kong (Tsing Yi Campus),"20A, Tsing Yi Road Tsing Yi Island New Territories",香港高等教育科技學院 (青衣校園),香港新界青衣島青衣路20A號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822475.8,829034.8,22.34134547,114.10665818,2023-07-24 14:01:38,829034.7999999998,822475.8000000007
Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Tsing Yi),"20 Tsing Yi Road, Tsing Yi Island, New Territories",香港專業教育學院 (青衣),新界青衣島青衣路20號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822630,828961.6,22.34273767,114.10594689,2023-07-24 14:00:04,828961.5999999996,822630
Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Shau Kei Wan Campus),"8 Tam Kung Temple Road, Shau Kei Wan, Hong Kong",香港藝術學院 (香港藝術中心附屬機構) (筲箕灣校舍),香港筲箕灣譚公廟道8號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815976.1,841832.8,22.28265546,114.23087199,2023-07-24 12:48:10,841832.7999999998,815976.0999999996
Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Chai Wan Campus),"Room 819, 8/F Youth Square, 238 Chai Wan Road, Chai Wan, Hong Kong",香港藝術學院 (香港藝術中心附屬機構) (柴灣校舍),香港柴灣道238號青年廣場8樓819室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,813812.5,842443.9,22.26311469,114.23679343,2023-07-24 12:47:36,842443.9000000004,813812.5
Higher Education Institutions,高等教育院校,Hong Kong Baptist University - College of International Education,"4/F, David C. Lam Building, Shaw Campus, Hong Kong Baptist University, 34 Renfrew Road, Kowloon Tong",香港浸會大學國際學院,九龍塘聯福道34號香港浸會大學逸夫校園思齊樓4樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822022,836773.3,22.33726252,114.18177942,2023-07-24 12:34:52,836773.2999999998,822022
